股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,关注者
SZ300222,科大智能,13.25,2.4,42.02,10.51,None,0,9589847693,37289
SH603223,恒通股份,16.73,2.39,165.21,1.4,69.853,0.018,4721875200,31734
SH603279,景津环保,23.6,2.39,13.58,4.11,23.438,2.542,9440826000,2872
SZ002312,三泰控股,6.45,2.38,53.21,1.72,37.067,0,8888691678,247497
SH600826,兰生股份,10.37,2.37,-7.79,0.81,264.073,1.254,4362060527,92812
SH603776,永安行,21.64,2.37,27.73,3.4,8.028,0.832,4059231200,15264
SZ300881,盛德鑫泰,49,2.36,245.8,37.5,78.548,None,4900000000,2068
SZ300787,海能实业,49,2.34,-21.36,8.54,42.365,0.68,6238680000,8111
SZ002430,杭氧股份,26.04,2.32,95.75,1.27,38.674,0.691,25118282353,20030
SZ300375,鹏翎股份,6.18,2.32,75.57,18.83,33.323,0,4394741166,14345
SZ300886,华业香料,71.2,2.3,283,34.93,83.7,None,4083320000,1829
SH601866,中远海发,2.22,2.3,-12.35,0.99,15.222,2.027,25770037500,67954
SZ002853,皮阿诺,22.2,2.3,23.04,4.46,19.744,1.171,3448581300,11281
SZ002685,华东重机,5.46,2.25,-18.79,1.57,17.723,0.916,5501990900,17296
SZ300470,中密控股,42.9,2.24,59.72,1.06,39.59,0.42,8438091090,13400
SH600543,莫高股份,7.31,2.24,26.61,5.13,443.293,0.356,2347387200,20436
SZ300436,广生堂,35.01,2.22,5.1,1.98,454.757,0,4901400000,15088
SZ300697,电工合金,17.46,2.22,18.1,1.44,36.571,1.718,3631680000,4844
SZ002441,众业达,8.81,2.2,21.26,2.45,19.604,2.497,4797944316,15923
SZ300786,国林科技,32.5,2.2,-1.95,15.34,38.39,0.519,2776800000,2052
SZ300647,超频三,12.72,2.17,44.66,8.55,653.862,0.052,4539902985,11003
SZ002863,今飞凯达,8.05,2.16,44.77,3.33,48.099,0.19,3177179458,5914
SZ300008,天海防务,8.55,2.15,195.85,11.82,None,0,8208138382,26937
SZ002946,新乳业,19.7,2.13,57.27,4.58,77.714,0.305,16818100120,15369
SH603683,晶华新材,16,2.11,18.95,2.83,157.439,0.74,2026720000,4279
SH603159,上海亚虹,12.6,2.11,11.06,1.61,45.847,1.825,1764000000,4698
SZ002568,百润股份,63.38,2.09,143.68,1.71,72.415,0.947,32945091957,38962
SH601601,中国太保,34.04,2.07,-6.28,1.39,12.694,3.321,327476423128,137252
SZ300011,鼎汉技术,7.9,2.07,33.67,4.27,124.584,0,4413338057,20270
SZ000012,南玻A,5.93,2.07,20.03,1.84,33.074,1.18,18209204195,66479
SH600791,京能置业,4.45,2.06,16.29,3.12,None,0.27,2015316000,19864
SZ002214,大立科技,26.38,2.05,149.92,4.06,32.739,0.305,12099626649,44293
