股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
600548,深高速,8.84,-1.45,-18.97,0.11,19.982,5.882,12670109682.0,8.0638,11.4885
600848,上海临港,23.79,-1.45,-2.01,0.67,36.424,1.009,24899971291.0,17.9786,28.1744
601139,深圳燃气,7.45,-1.46,-2.23,0.24,19.112,2.416,21431642180.0,6.1697,8.6415
002490,山东墨龙,3.37,-1.46,-11.08,0.49,-8.308,0.0,1825244235.0,2.87,4.48
002081,金螳螂,9.46,-1.46,10.0,0.38,11.293,2.115,24644530481.0,7.1373,13.5
000570,苏常柴A,4.72,-1.46,2.83,0.56,79.003,0.0,1941686819.0,3.58,5.88
900912,外高B股,1.014,-1.46,-14.42,0.18,13.518,3.352,203365305.0,0.7786,1.3464
002732,燕塘乳业,25.57,-1.46,18.48,0.37,34.226,1.564,3985339944.0,16.701,31.89
000536,*ST华映,2.02,-1.46,-25.19,0.37,-11.008,0.0,5581426682.0,1.21,3.12
002031,巨轮智能,2.02,-1.46,2.07,0.97,255.588,0.05,3822387883.0,1.5792,2.65
600406,国电南瑞,20.29,-1.46,-2.94,0.33,20.755,1.429,59549098519.0,16.137,24.0328
000969,安泰科技,6.74,-1.46,1.2,0.44,48.782,0.0,6745602322.0,5.25,8.66
002475,立讯精密,56.75,-1.46,102.56,0.5,68.927,0.163,395835701924.0,22.9659,63.88
300566,激智科技,31.62,-1.46,28.77,1.29,57.1,0.158,3656807309.0,19.8543,41.29
601336,新华保险,67.7,-1.46,41.17,0.9,17.266,2.083,141184243318.0,36.9597,70.3
002197,证通电子,10.07,-1.47,25.88,1.16,344.409,0.0,4381150691.0,6.71,13.33
605199,葫芦娃,26.81,-1.47,416.57,6.67,87.783,0.0,1075081000.0,6.23,49.88
600185,格力地产,10.06,-1.47,107.85,0.49,38.357,0.0,20734579786.0,3.74,18.1
601778,晶科科技,6.69,-1.47,53.66,2.24,26.028,0.404,3977826648.0,5.2207,10.5211
600477,杭萧钢构,4.01,-1.47,45.92,0.62,11.66,2.494,8635905560.0,2.3582,5.58
600971,恒源煤电,5.35,-1.47,-3.9,1.35,6.271,6.542,6420026129.0,4.1612,6.2
600446,金证股份,18.11,-1.47,-11.9,0.74,40.414,0.155,15490357423.0,15.7811,24.67
002267,陕天然气,6.71,-1.47,-3.32,0.46,15.839,2.981,7462026236.0,5.5271,7.6178
000800,一汽解放,12.04,-1.47,20.76,1.75,136.238,0.0,9204776384.0,7.82,15.33
002548,金新农,8.74,-1.47,28.53,1.07,15.938,0.176,4412443564.0,5.0119,12.65
603610,麒盛科技,32.25,-1.47,-0.79,1.97,18.425,2.247,1672640316.0,24.0833,45.526
600082,海泰发展,3.35,-1.47,-16.67,0.53,-113.176,0.0,2124870770.0,3.09,4.3
600742,一汽富维,10.7,-1.47,17.15,0.61,14.105,1.418,7159594358.0,6.8067,12.49
002620,瑞和股份,6.03,-1.47,-0.31,0.54,20.206,0.996,1868328983.0,5.148,7.88
600321,正源股份,2.01,-1.47,-6.92,0.36,-31.393,0.498,3036205500.0,1.7116,2.7565
600590,泰豪科技,6.0,-1.48,4.03,0.66,45.226,0.917,5069555160.0,4.5882,7.75
300855,图南股份,44.58,-1.48,324.17,12.97,89.381,0.0,2229000000.0,12.61,61.5
688333,铂力特,122.62,-1.48,122.45,1.85,145.726,None,5189320827.0,42.56,143.5
688026,洁特生物,66.04,-1.48,302.73,2.04,43.47,None,1568450000.0,52.0,157.0
002054,德美化工,7.32,-1.48,-3.21,1.05,28.305,0.656,2273776896.0,5.786,9.25
002364,中恒电气,10.59,-1.49,-7.76,0.79,87.868,0.944,5548253094.0,9.6745,16.5
300649,杭州园林,19.23,-1.49,-3.31,2.0,39.352,0.546,1665922784.0,15.903,21.61
002965,祥鑫科技,33.72,-1.49,-7.99,5.05,34.694,0.919,1270569600.0,23.6501,53.86
002935,天奥电子,25.77,-1.49,17.88,1.46,49.952,0.597,2706740431.0,18.1992,33.17
601568,北元集团,11.92,-1.49,17.21,14.75,26.893,None,4304444455.0,11.81,14.64
