股票代码,股票名称,近3年,近5年,近10年,所有时间,当前市盈率(TTM),历史平均,历史最高,历史最低
SZ000155,川能动力,92.7,92.7,85.7,61.5,38.53,40.22,746.63,7.24
SH601169,北京银行,20.5,13.6,9.5,7.7,5.01,8.59,32.1,4.63
SH600486,扬农化工,88.3,81.7,77.9,63.5,25.68,25.3,89.29,9.1
SH601077,渝农商行,1.9,1.9,1.9,1.9,5.5,6.15,7.13,5.44
SZ002142,宁波银行,92.8,95.2,93,78.2,13.68,11.66,38.8,4.94
SH600998,九州通,0.7,0.5,0.3,0.3,12,35.7,98.26,11.61
SH600532,宏达矿业,14.6,9.7,34.1,19.3,24.88,71.41,412.59,12.48
SZ000780,*ST平能,1,1,1,1,64.05,84.86,1536.13,6.79
SH600599,*ST熊猫,1,1,1,1,15.51,219.52,3373.74,22.45
SH601998,中信银行,21.9,14.6,20.4,16.9,5.53,8.52,35.6,4.61
SZ000968,蓝焰控股,99.9,99.6,63.6,54.6,27.2,33.58,124.52,4.43
SH601158,重庆水务,19.1,12.7,19.7,19.7,14.63,20.21,47.16,11.64
SZ200488,晨鸣B,21.9,14.6,8,26.2,4.03,9.3,55.78,1.69
SH603717,天域生态,98.7,98.7,98.7,98.7,378.47,45.07,385.81,15.17
SZ300029,ST天龙,1,1,1,1,12.8,49.57,143.6,12.68
SH600016,民生银行,30.9,18.4,16.8,8.8,4.96,15.24,77.57,4.42
SH603612,索通发展,80.4,80.4,80.4,80.4,37.77,34.7,63.29,8.21
SZ300270,中威电子,1,1,1,1,24.68,86.44,388.07,31.08
SH600309,万华化学,100,100,99.5,90.3,35.57,22.45,70.83,4.16
SZ000552,靖远煤电,74.8,49.7,30,17.2,12.24,47.16,450.96,8.52
SZ300276,三丰智能,75.1,50.5,47.4,47.4,50.94,161.36,647.05,16.81
SZ300305,裕兴股份,46.2,30.5,26.1,26.1,29.48,37.31,85.98,17.79
SH600565,迪马股份,28.5,19,10.7,6.3,6.13,47.3,460.09,4.64
SH600822,上海物贸,43.2,37.9,47.6,52.9,113.39,204.41,1610.43,15.54
SH600623,华谊集团,82.6,86.7,86,84.9,89.97,120.71,3249.55,8.63
SH600530,*ST交昂,1,1,1,1,19.86,68.1,759.27,16.48
SH600757,长江传媒,4.6,3.1,10.7,9.4,8.51,38.8,254.75,2.73
